id,group,wave,kind,count,rms,max_abs,bias,modulo_180_rms,modulo_180_max_abs
C3_phenomenology_S2,C3,S2,direct_coordinate,94,1.9097353305103995,3.414535566035596,-0.6296700209649317,1.9097353305104,3.414535566035596
C3_phenomenology_P1,C3,P1,direct_coordinate,183,85.69935374679439,147.21216866029525,-62.47449006889989,38.63128974034859,89.02571563041052
E_original_tip_S0,E_original,S0,direct_coordinate,41,22.45428091890962,75.2197243518253,10.47036504182449,22.45428091890962,75.2197243518253
E_original_tip_S0,E_original,S0,same_native_s,43,22.145107356808456,76.15594387213696,10.297062993719337,22.14510735680846,76.15594387213696
E_original_tip_S2,E_original,S2,direct_coordinate,41,1.5629092219762566,4.041581869902323,-1.1130999059534739,1.562909221976257,4.0415818699023305
E_original_tip_S2,E_original,S2,same_native_s,43,1.588902662707765,4.1722830160973245,-1.1293235525903127,1.5889026627077654,4.1722830160973245
E_original_tip_P1,E_original,P1,direct_coordinate,41,3.8646538487412068,14.126335424970549,1.6733631670239282,3.864653848741207,14.126335424970549
E_original_tip_P1,E_original,P1,same_native_s,43,4.171445850530909,16.049727338859512,1.7672290879174126,4.171445850530909,16.049727338859512
E_original_mid_S0,E_original,S0,direct_coordinate,41,19.143297593091713,110.68413954259486,7.941886474621989,13.595918789457409,69.31586045740514
E_original_mid_S0,E_original,S0,same_native_s,43,19.07287145515022,112.52384985245499,7.891300105513591,13.236414141982875,67.47615014754501
E_original_mid_S2,E_original,S2,direct_coordinate,41,0.4959602246310219,2.0335566199528614,-0.16632494354679875,0.49596022463102174,2.0335566199528614
E_original_mid_S2,E_original,S2,same_native_s,43,0.5078551513247307,2.0196250729768686,-0.20886357894755297,0.5078551513247301,2.019625072976865
E_original_mid_P1,E_original,P1,direct_coordinate,41,53.26806413467924,176.49555367629682,-18.084639821614545,15.528700072013235,83.00472029431134
E_original_mid_P1,E_original,P1,same_native_s,43,52.038165189364385,176.43699515832128,-17.241158240566477,15.312781004621568,83.53709540407021
E_original_ref_S0,E_original,S0,direct_coordinate,41,9.165752329437552,21.33424527777315,6.100440506413866,9.165752329437552,21.33424527777315
E_original_ref_S0,E_original,S0,same_native_s,43,9.216612888802604,21.96380332528379,6.0863043878787915,9.216612888802603,21.96380332528379
E_original_ref_S2,E_original,S2,direct_coordinate,41,1.6528593945542438,5.911864855082785,0.7914163379050926,1.652859394554243,5.911864855082783
E_original_ref_S2,E_original,S2,same_native_s,43,1.6060686638080275,5.909627004461537,0.7205994608866206,1.6060686638080284,5.909627004461541
E_original_ref_P1,E_original,P1,direct_coordinate,41,23.997561491225664,107.74593520399425,7.968901109433118,20.495487061310097,88.52565775145558
E_original_ref_P1,E_original,P1,same_native_s,43,23.9917188055786,111.47110908502056,7.784158892375214,19.895839984119515,89.38775993269257
E_Watsonian_tip_S0,E_Watsonian,S0,direct_coordinate,41,21.87207458201057,74.92462419281141,9.776058805348704,21.87207458201057,74.9246241928114
E_Watsonian_tip_S0,E_Watsonian,S0,same_native_s,43,21.574545871696387,75.24920016161597,9.625907989982853,21.574545871696387,75.24920016161599
E_Watsonian_tip_S2,E_Watsonian,S2,direct_coordinate,41,1.1003308615942176,3.2158986462550025,-0.741517669265576,1.1003308615942173,3.215898646254999
E_Watsonian_tip_S2,E_Watsonian,S2,same_native_s,43,1.1373892296833508,3.3614249260820266,-0.7724714668902893,1.13738922968335,3.361424926082023
E_Watsonian_tip_P1,E_Watsonian,P1,direct_coordinate,41,4.236037354574729,15.522049903745454,1.744035726138262,4.23603735457473,15.522049903745454
E_Watsonian_tip_P1,E_Watsonian,P1,same_native_s,43,4.526379275373632,17.343586701587896,1.8362304541662091,4.526379275373631,17.343586701587896
E_Watsonian_mid_S0,E_Watsonian,S0,direct_coordinate,41,16.88566429636969,96.42252954101957,6.238159382915665,15.123912073875024,83.57747045898043
E_Watsonian_mid_S0,E_Watsonian,S0,same_native_s,43,16.8004140819389,97.88558979687951,6.240694074872432,14.70493189382048,82.11441020312049
E_Watsonian_mid_S2,E_Watsonian,S2,direct_coordinate,41,1.577213699446151,4.469422144001587,0.8492708833476313,1.5772136994461512,4.469422144001584
E_Watsonian_mid_S2,E_Watsonian,S2,same_native_s,43,1.512665620812239,4.409021163780611,0.7654246050803615,1.5126656208122382,4.409021163780608
E_Watsonian_mid_P1,E_Watsonian,P1,direct_coordinate,41,15.807740013876959,64.92843700107734,5.669548363191681,15.807740013876957,64.92843700107733
E_Watsonian_mid_P1,E_Watsonian,P1,same_native_s,43,15.87822845153344,66.61878420835892,5.582853697598333,15.87822845153344,66.61878420835893
E_Watsonian_ref_S0,E_Watsonian,S0,direct_coordinate,41,13.004687719789489,61.59539501480208,7.055344493970383,13.004687719789489,61.59539501480208
E_Watsonian_ref_S0,E_Watsonian,S0,same_native_s,43,13.030648840827364,62.99864777099947,7.029189580118111,13.030648840827364,62.99864777099947
E_Watsonian_ref_S2,E_Watsonian,S2,direct_coordinate,41,1.674239828664251,5.895333985757999,0.8378441926890847,1.6742398286642521,5.8953339857580005
E_Watsonian_ref_S2,E_Watsonian,S2,same_native_s,43,1.626059104026861,5.900204865319356,0.7649922265740006,1.6260591040268606,5.900204865319353
E_Watsonian_ref_P1,E_Watsonian,P1,direct_coordinate,41,22.78209925281197,98.77919900157927,8.056659360480376,21.022330902994828,81.78790958450543
