group,mode,epsilon,command,direction,target,lower,upper,gap,pointwise_tolerance_met,report,coefficients,source_snapshot,candidate_npz,input_coefficients,dual_input_candidate_npz
B3,chiral,0.0002,boundary,"[-35.22573516777124, -730.7680134242739]","[0.05321331302387954, -0.0035297965958574814]",0.7049843741676431,0.7054654282002759,0.0004810540326327662,True,results/runs/stage_B3_pv_M50_eps0002_adaptive_011_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_011_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_011_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_011_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_004_20260907/center_first_coefficients.json,
B3,chiral,0.0002,boundary,"[-306.3938080019558, -4507.3575646542085]","[-0.00439336959541601, 7.769795070908376e-05]",0.9958887944128045,0.9963783344758685,0.0004895400630640091,True,results/runs/stage_B3_pv_M50_eps0002_parallel_004_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_parallel_004_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_parallel_004_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_parallel_004_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_008_20260907/center_first_coefficients.json,
B3,chiral,0.0002,boundary,"[-89.97033734640921, -1544.133676358761]","[0.043435740807759714, -0.002992704226023688]",0.7132071254190233,0.7136939824587337,0.0004868570397104089,True,results/runs/stage_B3_pv_M50_eps0002_adaptive_012_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_012_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_012_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_012_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_004_20260907/center_first_coefficients.json,
B3,chiral,0.0002,boundary,"[167.29538060640667, 2328.387811583242]","[0.050921519275357464, -0.0032659675147235804]",0.9144959939182025,0.9149817515616206,0.0004857576434181832,True,results/runs/stage_B3_pv_M50_eps0002_adaptive_013_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_013_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_013_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_013_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_007_20260907/center_first_coefficients.json,
B3,chiral,0.0002,boundary,"[333.61141173331606, 4996.261298560893]","[0.026952490879378718, -0.0016409610428037074]",0.7929883813925704,0.7934502022199474,0.000461820827377002,True,results/runs/stage_B3_pv_M50_eps0002_parallel_005_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_parallel_005_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_parallel_005_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_parallel_005_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_006_20260907/center_first_coefficients.json,
B3,chiral,0.0002,boundary,"[-327.16234499306006, -4859.233544737964]","[-4.901910196909992e-06, -0.0002191914093806538]",1.0667059696158305,1.0671999721462937,0.0004940025304631669,True,results/runs/stage_B3_pv_M50_eps0002_parallel_006_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_parallel_006_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_parallel_006_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_parallel_006_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_008_20260907/center_first_coefficients.json,
B3,chiral,0.0002,boundary,"[41.67075559511033, 421.20977282382546]","[0.05407065156087309, -0.0035138610486839237]",0.7730922920108685,0.7735735995032629,0.00048130749239438947,True,results/runs/stage_B3_pv_M50_eps0002_adaptive_014_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_014_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_014_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_014_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_007_20260907/center_first_coefficients.json,
B3,chiral,0.0002,boundary,"[-322.15615431363454, -4877.37262999848]","[0.008514303557445481, -0.0007872542529242421]",1.0967970553370652,1.097291096439957,0.0004940411028917514,True,results/runs/stage_B3_pv_M50_eps0002_adaptive_015_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_015_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_015_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_015_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_003_20260907/center_first_coefficients.json,
B3,chiral,0.0002,boundary,"[-322.15615431363443, -4877.372629998479]","[0.008514303568658127, -0.0007872542529999972]",1.096797052094328,1.0972912393329064,0.0004941872385784142,True,results/runs/stage_B3_pv_M50_eps0002_parallel_007_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_parallel_007_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_parallel_007_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_parallel_007_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_003_20260907/center_first_coefficients.json,
B3,chiral,0.0002,boundary,"[-210.0151770086586, -3303.78447621822]","[0.025724087182995962, -0.0019025410467583834]",0.8831368525252464,0.8836268878638791,0.0004900353386326773,True,results/runs/stage_B3_pv_M50_eps0002_parallel_008_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_parallel_008_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_parallel_008_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_parallel_008_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_010_20260907/center_first_coefficients.json,
B3,chiral,0.0002,boundary,"[-269.09832577828143, -4150.548059538479]","[0.01706305619435205, -0.001346667843652691]",0.9977697507546739,0.9982615527568012,0.0004918020021272841,True,results/runs/stage_B3_pv_M50_eps0002_parallel_009_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_parallel_009_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_parallel_009_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_parallel_009_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_003_20260907/center_first_coefficients.json,
