group,group_path_index,energy_gev,phase_deg,pdf_path_index,pdf_x_pt,pdf_y_pt,pdf_radius_x_pt,pdf_radius_y_pt
light_pink,41,1.0578566665755371,163.72658434703285,225,687.1640014648438,97.02950286865234,3.968994140625,3.9664993286132812
light_pink,42,1.1957420651097113,168.67459602914334,226,801.2170104980469,84.24200057983398,3.967010498046875,3.9689979553222656
pink,0,0.2791759198065637,-0.0008254147637281445,411,43.07200050354004,520.1620178222656,3.967000961303711,3.967010498046875
pink,1,0.27945035260624396,-0.0008254147637281445,412,43.29899978637695,520.1620178222656,3.966999053955078,3.967010498046875
pink,2,0.2800028477017662,0.0007333083954428304,413,43.75600051879883,520.1579895019531,3.966999053955078,3.967010498046875
pink,3,0.28083823827226323,0.0020912869053266343,414,44.44700050354004,520.1544799804688,3.967000961303711,3.96649169921875
pink,4,0.2819528971274794,0.004405754626519901,415,45.36899948120117,520.1484985351562,3.966999053955078,3.968505859375
pink,5,0.28336012703956015,0.008278945506884142,416,46.53300094604492,520.1384887695312,3.966999053955078,3.96649169921875
pink,6,0.2850653630291239,0.014265859459154477,417,47.94350051879883,520.1230163574219,3.9664993286132812,3.967010498046875
pink,7,0.2870722345923323,0.02181149657059579,418,49.60350036621094,520.103515625,3.9664993286132812,3.96649169921875
pink,8,0.2893982689212599,0.034588303072285144,419,51.52749824523926,520.0704956054688,3.9685001373291016,3.968505859375
pink,9,0.2920501231667448,0.046774684134894585,420,53.72100067138672,520.0390014648438,3.966999053955078,3.968994140625
pink,10,0.2950483406460072,0.06708531923924366,421,56.20100021362305,519.9865112304688,3.966999053955078,3.96649169921875
pink,11,0.2984062241311928,0.08527042276290503,422,58.97850036621094,519.9395141601562,3.9664993286132812,3.96649169921875
pink,12,0.30213949067810725,0.11701169436784124,423,62.06650161743164,519.8574829101562,3.9685020446777344,3.96649169921875
pink,13,0.3062741301541198,0.14274243500294392,424,65.48650169372559,519.7909851074219,3.966501235961914,3.967010498046875
pink,14,0.3108361324265994,0.1887838107423957,425,69.2599983215332,519.6719970703125,3.966999053955078,3.968994140625
pink,15,0.31585331364052655,0.22592157086052234,426,73.40999984741211,519.5760192871094,3.9689979553222656,3.967010498046875
pink,16,0.32135770513718614,0.2893804970528316,427,77.9630012512207,519.4120178222656,3.966999053955078,3.967010498046875
pink,17,0.32738315761775627,0.34219995683292076,428,82.94700241088867,519.2755126953125,3.966999053955078,3.96649169921875
pink,18,0.33397620887863866,0.4269378158496701,429,88.40049743652344,519.0565185546875,3.9664993286132812,3.96649169921875
pink,19,0.3411852322174703,0.5023941869640832,430,94.36349868774414,518.8615112304688,3.9685020446777344,3.96649169921875
pink,20,0.349064623958556,0.6144215097751062,431,100.88100051879883,518.5719909667969,3.966999053955078,3.967010498046875
