model_M,model_L,energy_gev,phase_deg
50,10,0.678324168703,17.7634127978
50,10,0.729429186154,29.731653553
50,10,0.789702995958,64.2839184079
50,10,0.861764139334,107.427795002
50,10,0.949324815067,146.915498378
50,10,1.05785438297,166.441399415
50,10,1.19574011729,171.508447569
50,12,0.279171855033,0.0018981830212
50,12,0.279452066717,-0.000206446481708
50,12,0.280001319625,-0.000206446481708
50,12,0.280836369447,0.0018981830212
50,12,0.281954030715,0.00374575853902
50,12,0.283356694052,0.0100596470478
50,12,0.285059528507,0.0142689060536
50,12,0.287074511567,0.0263825751009
50,12,0.289394453085,0.0348010931125
50,12,0.292051293027,0.0574379096743
50,12,0.295045025302,0.0677040032038
50,12,0.298399598794,0.104816172301
50,12,0.302135776917,0.119034470851
50,12,0.306271119343,0.172726621986
50,12,0.310836762058,0.197211014066
50,12,0.315851062623,0.266969039269
50,12,0.321354740842,0.312242672393
50,12,0.327383716993,0.392780899096
50,12,0.333976314164,0.477014276835
50,12,0.341185226599,0.55914302507
50,12,0.349063130268,0.705230017971
50,12,0.357675500885,0.785511190689
50,12,0.367094179009,1.01767913685
50,12,0.377403795805,1.10191251458
50,12,0.388704934149,1.43725550401
50,12,0.401110163537,1.56255325586
50,12,0.414762379383,1.99870960506
50,12,0.429812474272,2.24745753326
50,12,0.446452831072,2.76759020621
50,12,0.464907796981,3.29824602667
50,12,0.485459167281,3.89260303782
50,12,0.508428680486,4.95391467875
50,12,0.534237854003,5.7248999094
50,12,0.563395205709,7.73408205448
50,12,0.596538609127,9.20234228555
50,12,0.634495945251,13.3173106765
50,12,0.678324168703,18.6083653127
50,12,0.729429186154,30.5729109168
50,12,0.789702995958,65.7706061965
50,12,0.861764139334,107.407262815
50,12,0.949324815067,139.650010075
50,12,1.05785438297,165.493269849
50,12,1.19574011729,174.440756764
45,10,0.279183829475,0.0018981830212
45,10,0.279520724854,-0.000206446481708
45,10,0.280207287943,0.0018981830212
45,10,0.281235533751,0.00374575853902
45,10,0.28262063437,0.00795501754484
45,10,0.284360990977,0.0121642765507
45,10,0.286481350343,0.0224303700801
45,10,0.288988902616,0.0326964636096
45,10,0.291894818257,0.0532286506685
45,10,0.295225445911,0.0706038934731
45,10,0.298998345249,0.104816172301
45,10,0.303246251083,0.131405193883
45,10,0.307998703617,0.184840291034
45,10,0.313288428527,0.223800035649
45,10,0.319156142568,0.298024373843
45,10,0.325656132719,0.35962093502
45,10,0.332834704013,0.45963903403
45,10,0.340767698642,0.557038395567
45,10,0.349518177331,0.68654540643
45,10,0.359185937245,0.834737028833
45,10,0.369862784469,1.01162230232
45,10,0.381676448413,1.22957194993
45,10,0.394761053789,1.48042450763
45,10,0.409299420967,1.79628762474
45,10,0.425477549694,2.17533782456
45,10,0.443558889873,2.63808319535
45,10,0.46382925669,3.24506798351
45,10,0.486662251513,3.98315030407
45,10,0.512520906395,5.0010358874
45,10,0.54197764351,6.38506274073
45,10,0.575769299112,8.36950343974
45,10,0.614857056654,11.6682129669
45,10,0.660498305616,18.3577698089
45,10,0.714403856311,44.2831583314
45,10,0.778919176647,85.5391983269
45,10,0.857392481359,131.405854994
45,10,0.954745448765,167.804633011
45,10,1.07851035605,176.503373002
60,10,0.279165468867,0.0018981830212
60,10,0.279353073532,-0.000206446481708
60,10,0.279739465503,-0.000206446481708
60,10,0.280312667294,0.0018981830212
60,10,0.281087047017,0.0018981830212
60,10,0.282059410066,0.00585038804193
60,10,0.283231355267,0.00795501754484
