wave,epsilon,s,f
S2,0.002,1.99499414182,-0.000138966878126
S2,0.002,2.12799392681,-0.0018774803014
S2,0.002,2.26099384632,-0.00359311669295
S2,0.002,2.39400250926,-0.00528697039059
S2,0.002,2.52699355083,-0.00695882655502
S2,0.002,2.66000006154,-0.00860923235513
S2,0.002,2.79299769431,-0.0102379142065
S2,0.002,2.92599761382,-0.0118451456935
S2,0.002,3.05899753333,-0.0134308731064
S2,0.002,3.19199745284,-0.0149947104057
S2,0.002,3.32499723783,-0.0165356706733
S2,0.002,3.4579948706,-0.01805308925
S2,0.002,3.59099250337,-0.0195449872642
S2,0.002,3.72399242288,-0.0210080699533
S2,0.002,3.85700108582,-0.0224336933911
S2,0.002,3.98999212738,-0.0237738510582
P1,0.006,0.133002116961,-0.0206457713464
P1,0.006,0.266005578394,-0.0192640311497
P1,0.006,0.399009056846,-0.0179927338935
P1,0.006,0.532012484242,-0.0168117124907
P1,0.006,0.665007061949,-0.0157076311698
P1,0.006,0.798001571582,-0.0146707544719
P1,0.006,0.931005067052,-0.013693431202
P1,0.006,1.06400852849,-0.0127694225163
P1,0.006,1.19700307216,-0.0118936811851
P1,0.006,1.33000871197,-0.011061735471
P1,0.006,1.46300107726,-0.0102698498298
P1,0.006,1.59600671708,-0.00951482539854
P1,0.006,1.72900800012,-0.00879370163721
P1,0.006,1.86200472218,-0.00810405286775
P1,0.006,1.99500600523,-0.00744363503476
P1,0.006,2.12800272728,-0.00681040116919
P1,0.006,2.26100618872,-0.00620246318388
P1,0.006,2.39400965015,-0.0056182907792
P1,0.006,2.52700426189,-0.00505637427378
P1,0.006,2.66000758718,-0.00451544170269
P1,0.006,2.79300219892,-0.00399414196327
P1,0.006,2.92600566036,-0.0034913619725
P1,0.006,3.05900912179,-0.00300616814754
P1,0.006,3.19200373353,-0.00253754640337
P1,0.006,3.32500705882,-0.00208464320453
P1,0.006,3.45800167056,-0.00164654376718
P1,0.006,3.591005132,-0.0012225728432
P1,0.006,3.72400859343,-0.000812034869413
P1,0.006,3.85700320517,-0.000414214422395
P1,0.006,3.99000653046,-2.85152401652e-05
P1,0.004,0.133002116961,-0.0194116530641
P1,0.004,0.266005578394,-0.0183605097407
P1,0.004,0.399009056846,-0.0173680447821
P1,0.004,0.532012484242,-0.016423847178
P1,0.004,0.665007061949,-0.0155211201786
P1,0.004,0.798001571582,-0.0146553144247
P1,0.004,0.931005067052,-0.0138225937065
P1,0.004,1.06400852849,-0.0130199780784
P1,0.004,1.19700307216,-0.0122450030517
P1,0.004,1.33000871197,-0.0114955024958
P1,0.004,1.46300107726,-0.0107697287096
P1,0.004,1.59600671708,-0.0100660116139
P1,0.004,1.72900800012,-0.0093829406769
P1,0.004,1.86200472218,-0.00871918480772
P1,0.004,1.99500600523,-0.00807361060831
P1,0.004,2.12800272728,-0.00744526448399
P1,0.004,2.26100618872,-0.00683313371418
P1,0.004,2.39400965015,-0.0062363235269
P1,0.004,2.52700426189,-0.00565413835895
P1,0.004,2.66000758718,-0.00508572406847
P1,0.004,2.79300219892,-0.00453050425371
P1,0.004,2.92600566036,-0.00398776303643
P1,0.004,3.05900912179,-0.00345698496006
P1,0.004,3.19200373353,-0.00293771187464
P1,0.004,3.32500705882,-0.00242920895134
P1,0.004,3.45800167056,-0.00193117828657
P1,0.004,3.591005132,-0.00144302361835
P1,0.004,3.72400859343,-0.00096446660013
P1,0.004,3.85700320517,-0.000495030282953
P1,0.004,3.99000653046,-3.43373980865e-05
P1,0.002,0.133002116961,-0.0183491830371
P1,0.002,0.266005578394,-0.0175735724827
P1,0.002,0.399009056846,-0.016823754163
P1,0.002,0.532012484242,-0.0160935686749
P1,0.002,0.665007061949,-0.015379836561
P1,0.002,0.798001571582,-0.0146801533679
P1,0.002,0.931005067052,-0.0139929690873
P1,0.002,1.06400852849,-0.0133168131519
P1,0.002,1.19700307216,-0.0126506528294
P1,0.002,1.33000871197,-0.0119936724854
P1,0.002,1.46300107726,-0.011345058305
P1,0.002,1.59600671708,-0.0107042135713
P1,0.002,1.72900800012,-0.0100705027568
P1,0.002,1.86200472218,-0.00944340858559
P1,0.002,1.99500600523,-0.00882251444743
P1,0.002,2.12800272728,-0.00820750257853
P1,0.002,2.26100618872,-0.00759787510846
P1,0.002,2.39400965015,-0.00699343464768
P1,0.002,2.52700426189,-0.00639366331392
P1,0.002,2.66000758718,-0.00579844285539
P1,0.002,2.79300219892,-0.00520751433094
P1,0.002,2.92600566036,-0.00462054057133
P1,0.002,3.05900912179,-0.00403728204085
P1,0.002,3.19200373353,-0.00345762079091
P1,0.002,3.32500705882,-0.00288119842758
P1,0.002,3.45800167056,-0.00230795521854
P1,0.002,3.591005132,-0.00173767285276
P1,0.002,3.72400859343,-0.00117009314713
P1,0.002,3.85700320517,-0.000605017044451
P1,0.002,3.99000653046,-4.22462455446e-05
