group,group_path_index,f00_s3,f11_s3,pdf_path_index,pdf_x_pt,pdf_y_pt,pdf_radius_x_pt,pdf_radius_y_pt
chiral_only_green,50,0.07388094887844919,-0.004412998774013593,50,808.2009887695312,459.6839904785156,3.9630126953125,3.96099853515625
chiral_only_green,51,0.07532986574563078,-0.0045330006999206775,51,822.7620239257812,469.27149963378906,3.96099853515625,3.9625091552734375
chiral_only_green,52,0.07677887371368511,-0.004688011201022641,52,837.323974609375,481.656005859375,3.96099853515625,3.96099853515625
chiral_only_green,53,0.07822679454465807,-0.004783011285343146,53,851.875,489.2460021972656,3.96099853515625,3.96099853515625
chiral_only_green,54,0.07967585717323604,-0.004953986532490559,54,866.4375,502.906005859375,3.96051025390625,3.96099853515625
chiral_only_green,55,0.08112491980181401,-0.00505600842362169,55,881.0,511.0570068359375,3.96099853515625,3.9630126953125
chiral_only_green,56,0.08257284063278697,-0.005254995649361128,56,895.551025390625,526.9550170898438,3.96099853515625,3.9630126953125
chiral_only_green,57,0.0014492124895136202,-0.0009400119031651231,57,80.29100036621094,182.21099853515625,3.9629974365234375,3.96099853515625
chiral_only_green,58,0.002897130663377799,-0.0010390173547388637,58,94.84199905395508,190.12100219726562,3.963001251220703,3.96099853515625
chiral_only_green,59,0.004346143566062731,-0.0011369964452779444,59,109.40399932861328,197.94900512695312,3.9629974365234375,3.96099853515625
chiral_only_green,60,0.0057950570169615885,-0.0012339992132250675,60,123.96500015258789,205.69900512695312,3.9610023498535156,3.96099853515625
chiral_only_green,61,0.007243123988917909,-0.0013300006393588818,61,138.51749420166016,213.36900329589844,3.9625015258789062,3.9629974365234375
chiral_only_green,62,0.008692187376669817,-0.0014250007236793875,62,153.0800018310547,220.95899963378906,3.9629974365234375,3.9629974365234375
chiral_only_green,63,0.010141100447981706,-0.0015189994661865844,63,167.64099884033203,228.468994140625,3.9610061645507812,3.96099853515625
chiral_only_green,64,0.011589118453218928,-0.001615026007034961,64,182.19300079345703,236.14099884033203,3.9630050659179688,3.9610061645507812
chiral_only_green,65,0.013038031524530815,-0.0017090186379766369,65,196.75399780273438,243.65050506591797,3.96099853515625,3.9625015258789062
chiral_only_green,66,0.014487044047628777,-0.001802009831611793,66,211.3159942626953,251.0800018310547,3.96099853515625,3.9629974365234375
chiral_only_green,67,0.015935162263826012,-0.001895007232305681,67,225.86900329589844,258.50999450683594,3.9629974365234375,3.9629974365234375
chiral_only_green,68,0.017384075335137902,-0.0019869910680552186,68,240.43000030517578,265.8590087890625,3.9610061645507812,3.96099853515625
chiral_only_green,69,0.01883214344585513,-0.0020790121461571488,69,254.98250579833984,273.21099853515625,3.9625015258789062,3.96099853515625
chiral_only_green,70,0.02028100641168701,-0.0021710020934722074,70,269.5429992675781,280.5605010986328,3.96099853515625,3.9625091552734375
chiral_only_green,71,0.02173006904026498,-0.0022620157181953084,71,284.1054992675781,287.8320007324219,3.96051025390625,3.96099853515625
chiral_only_green,72,0.02317813715098221,-0.002352002981883749,72,298.6580047607422,295.02149963378906,3.9629974365234375,3.9625091552734375
chiral_only_green,73,0.02462704946312016,-0.0024420152647935413,73,313.218994140625,302.21299743652344,3.96099853515625,3.9629974365234375
chiral_only_green,74,0.026076063504566,-0.0025309950751031527,74,327.781005859375,309.32200622558594,3.96099853515625,3.9629974365234375
chiral_only_green,75,0.02752398129884321,-0.0026200121277651566,75,342.3320007324219,316.4339904785156,3.96099853515625,3.96099853515625
chiral_only_green,76,0.02897304392742118,-0.002709016957296119,76,356.8945007324219,323.5449981689453,3.96051025390625,3.9629974365234375
chiral_only_green,77,0.030422106555999147,-0.0027969954257924218,77,371.4570007324219,330.5740051269531,3.96099853515625,3.96099853515625
chiral_only_green,78,0.03187002435027635,-0.0028840036832622875,78,386.00799560546875,337.52549743652344,3.96099853515625,3.9625091552734375
chiral_only_green,79,0.0333190383917222,-0.002971011940732153,79,400.57000732421875,344.47698974609375,3.96099853515625,3.96099853515625
chiral_only_green,80,0.0347681496074323,-0.0030570127448231892,80,415.13299560546875,351.3479919433594,3.96099853515625,3.96099853515625
chiral_only_green,81,0.036216067401709504,-0.0031430135489142253,81,429.6839904785156,358.218994140625,3.96099853515625,3.96099853515625
chiral_only_green,82,0.03766508144315534,-0.003228013011191953,82,444.2460021972656,365.00999450683594,3.96099853515625,3.9629974365234375
chiral_only_green,83,0.03911399375529329,-0.0033120111316563717,83,458.80699157714844,371.7209930419922,3.9629974365234375,3.9629974365234375
chiral_only_green,84,0.040562013278878394,-0.003397010593934099,84,473.3590087890625,378.5119934082031,3.96099853515625,3.96099853515625
chiral_only_green,85,0.042010925591016345,-0.003480001261019688,85,487.9199981689453,385.1425018310547,3.9629974365234375,3.9625091552734375
chiral_only_green,86,0.04345998821959431,-0.003562998039670798,86,502.4824981689453,391.77349853515625,3.9625091552734375,3.96051025390625
chiral_only_green,87,0.04490805329361578,-0.0036450123841644294,87,517.0349731445312,398.3260040283203,3.96099853515625,3.9629974365234375
chiral_only_green,88,0.046356970160797366,-0.0037270078210022302,88,531.5960083007812,404.8769989013672,3.9630126953125,3.9629974365234375
chiral_only_green,89,0.047805981165547455,-0.003808001916026723,89,546.1579895019531,411.3479919433594,3.962982177734375,3.96099853515625
chiral_only_green,90,0.04925389895982466,-0.0038890088071415244,90,560.708984375,417.82000732421875,3.9630126953125,3.96099853515625
chiral_only_green,91,0.050702964625098386,-0.003970002902166017,91,575.2715148925781,424.29100036621094,3.962493896484375,3.9629974365234375
chiral_only_green,92,0.0521520242169806,-0.004049013221219722,92,589.833984375,430.60350036621094,3.9630126953125,3.9625091552734375
chiral_only_green,93,0.05359994504795357,-0.004127998521052076,93,604.385009765625,436.91400146484375,3.9630126953125,3.96099853515625
