model_M,model_L,energy_gev,phase_deg
50,10,0.401113873394,21.4409160817
50,10,0.414760582195,23.9452641373
50,10,0.429810667024,26.9144455788
50,10,0.446450675869,30.0752331245
50,10,0.464906132592,33.9129115804
50,10,0.485456898472,37.7943029951
50,10,0.508430919301,42.5911686624
50,10,0.534239708007,47.0429574201
50,10,0.563396666729,52.6915871217
50,10,0.596542770892,57.1543041191
50,10,0.634496452741,63.3544905947
50,10,0.678324584066,66.795012692
50,10,0.729427082583,73.4495584743
50,10,0.789701199222,74.5484994214
50,10,0.861761959319,82.4782430456
50,10,0.949326664031,80.2175805431
50,10,1.05785701854,94.166605698
50,10,1.19574009318,88.5549546049
50,12,0.279176003454,0.18438991789
50,12,0.279450725298,0.54946408693
50,12,0.280002452694,0.921989328503
50,12,0.280834626489,1.29450037756
50,12,0.281951820648,1.68839955291
50,12,0.283360905948,2.0737122542
50,12,0.285061880206,2.5041145887
50,12,0.287071912716,2.91010579033
50,12,0.289396730218,3.39795944218
50,12,0.292051213933,3.83139897577
50,12,0.295046804236,4.39552322531
50,12,0.298401821011,4.86941143836
50,12,0.302138009705,5.53445869129
50,12,0.306273692385,6.07019790262
50,12,0.31083747654,6.85616541835
50,12,0.315853976443,7.48910919306
50,12,0.321355814632,8.41549749286
50,12,0.327383626272,9.20238752233
50,12,0.33397690686,10.28504965
50,12,0.341183727804,11.3077199995
50,12,0.34906246122,12.5619838757
50,12,0.357674933168,13.9380905285
50,12,0.36709324858,15.3835063484
50,12,0.377404402344,17.2590903262
50,12,0.388705694416,18.9330766664
50,12,0.401113873394,21.4809106005
50,12,0.414760582195,23.4481214817
50,12,0.429810667024,26.8463143908
50,12,0.446450675869,29.1962620311
50,12,0.464906132592,33.5806221305
50,12,0.485456898472,36.3916847166
50,12,0.508430919301,41.7663846069
50,12,0.534239708007,45.0153006
50,12,0.563396666729,51.1247968784
50,12,0.596542770892,54.6192576447
50,12,0.634496452741,60.8919962779
50,12,0.678324584066,64.3864570441
50,12,0.729427082583,70.2122732506
50,12,0.789701199222,73.6439534085
50,12,0.861761959319,79.6134688709
50,12,0.949326664031,82.8870301735
50,12,1.05785701854,96.5737562865
50,12,1.19574009318,95.7905988895
45,10,0.279182300027,0.209979029843
45,10,0.279523983001,0.61318849773
45,10,0.28020620491,1.03172588625
45,10,0.281236404183,1.44518235294
45,10,0.282618017299,1.89931457939
45,10,0.284364777075,2.3243805267
45,10,0.28648126621,2.83850453142
45,10,0.288985795857,3.28542695816
45,10,0.291894393456,3.8886090203
45,10,0.295223082084,4.36621567335
45,10,0.298999338292,5.09311392456
45,10,0.303244900977,5.62072082243
45,10,0.307997556126,6.51340188935
45,10,0.313287061817,7.11286551148
45,10,0.319155764906,8.22669441115
45,10,0.325655182014,8.93497207728
45,10,0.332836249013,10.3413229883
45,10,0.340768210742,11.2114521424
45,10,0.349521473541,13.0061103762
45,10,0.359185892393,14.1199392759
45,10,0.369863343403,16.4261739573
45,10,0.381676290992,17.9073833103
45,10,0.394764412537,20.8842358084
45,10,0.409295951426,22.9016669185
45,10,0.425480388795,26.7435392637
45,10,0.443558103528,29.4906432624
45,10,0.463828999396,34.3954075563
45,10,0.486663954162,37.9868387093
45,10,0.512521962683,44.0454122292
45,10,0.541978816442,48.2962987826
45,10,0.575773930493,55.3466171528
45,10,0.614857432397,59.5442462782
45,10,0.660501002867,67.3330794765
45,10,0.714403336817,70.3922485854
45,10,0.778920732432,79.6125392609
45,10,0.85739274888,81.119337726
45,10,0.954743184091,98.5572459871
45,10,1.07851484363,96.317510354
60,10,0.279162268454,0.154401125013
60,10,0.279354573744,0.459710596085
60,10,0.279739179959,0.767588913116
60,10,0.280316091465,1.08103069764
60,10,0.281088742557,1.39681424781
60,10,0.282059419128,1.72491690457
60,10,0.283230985637,2.05370080225
60,10,0.284608590255,2.40249615188
60,10,0.286195099624,2.7512915015
60,10,0.288001954121,3.13102654278
