drawing_index,epsilon,color,role,x,y,pdf_x,pdf_y,pdf_marker_radius
369,0.001,red_orange,boundary_sample,0.02536228127297196,-0.0013410219364077605,195.73799896240234,180.9980010986328,2.3790054321289062
370,0.001,red_orange,boundary_sample,0.02637629458333787,-0.0014090291475164663,200.93600463867188,183.63899993896484,2.3769989013671875
371,0.001,red_orange,boundary_sample,0.027391281256468,-0.0014780149319437508,206.13899993896484,186.31800079345703,2.3770065307617188
372,0.001,red_orange,boundary_sample,0.028405488048728937,-0.0015470264527903755,211.33799743652344,188.9980010986328,2.3769989013671875
373,0.001,red_orange,boundary_sample,0.029420476210181335,-0.0016160377771757837,216.54100036621094,191.67799377441406,2.3769989013671875
374,0.001,red_orange,boundary_sample,0.030433903121573083,-0.0016850235616030682,221.73600006103516,194.35699462890625,2.3770065307617188
375,0.001,red_orange,boundary_sample,0.031448988023972994,-0.001754035278910909,226.9394989013672,197.03700256347656,2.376495361328125
376,0.001,red_orange,boundary_sample,0.032463293045503716,-0.0018230466032963175,232.13899993896484,199.7169952392578,2.3770065307617188
377,0.001,red_orange,boundary_sample,0.03347827971863385,-0.00189204535416388,237.3419952392578,202.39649963378906,2.3769989013671875
378,0.001,red_orange,boundary_sample,0.03449248799921705,-0.0019619452726307844,242.54100036621094,205.11100006103516,2.3769989013671875
379,0.001,red_orange,boundary_sample,0.03550747616066945,-0.0020319611032153274,247.74400329589844,207.8300018310547,2.3769989013671875
380,0.001,red_orange,boundary_sample,0.036520999813008714,-0.0021019767373386547,252.9394989013672,210.5489959716797,2.376495361328125
381,0.001,red_orange,boundary_sample,0.037536084715408626,-0.002172996877661117,258.1429977416992,213.30699920654297,2.3769912719726562
382,0.001,red_orange,boundary_sample,0.03855029150766956,-0.002242986775365104,263.3419952392578,216.02499389648438,2.3769989013671875
383,0.001,red_orange,boundary_sample,0.03956449978825277,-0.002315011421886701,268.54100036621094,218.82200622558594,2.3769989013671875
384,0.001,red_orange,boundary_sample,0.040579487949705166,-0.002386031365747947,273.74400329589844,221.5800018310547,2.3769989013671875
385,0.001,red_orange,boundary_sample,0.04159301160204443,-0.0024579526736697504,278.9394989013672,224.3730010986328,2.3765106201171875
386,0.001,red_orange,boundary_sample,0.042608095016122075,-0.002531985546744753,284.1429901123047,227.2480010986328,2.3769989013671875
387,0.001,red_orange,boundary_sample,0.04362230329670528,-0.002605014110081836,289.3419952392578,230.08399963378906,2.3769989013671875
388,0.001,red_orange,boundary_sample,0.044637291458157674,-0.0026950381403218694,294.5449981689453,233.5800018310547,2.3769989013671875
389,0.001,red_orange,boundary_sample,0.045651499738740886,-0.0027529769105544798,299.74400329589844,235.8300018310547,2.3769989013671875
390,0.001,red_orange,boundary_sample,0.04666648790019328,-0.002828014093367401,304.94700622558594,238.74400329589844,2.3769989013671875
391,0.001,red_orange,boundary_sample,0.04768010680515779,-0.002923986379854493,310.1429901123047,242.47100067138672,2.3769989013671875
392,0.001,red_orange,boundary_sample,0.04869509496661019,-0.003003040605157873,315.3459930419922,245.54100036621094,2.3769989013671875
393,0.001,red_orange,boundary_sample,0.049709303247193394,-0.0030819916883226754,320.5449981689453,248.60699462890625,2.3769989013671875
394,0.001,red_orange,boundary_sample,0.05072429140864579,-0.0031609687043680345,325.7480010986328,251.6739959716797,2.3769989013671875
395,0.001,red_orange,boundary_sample,0.051738499689229,-0.00324597138237969,330.94700622558594,254.9749984741211,2.3769989013671875
