drawing_index,epsilon,color,role,x,y,pdf_x,pdf_y,pdf_marker_radius
93,,blue,boundary_sample,-0.04752598442243361,0.0713898337701317,510.04100036621094,66.68550109863281,2.2559967041015625
94,,blue,boundary_sample,-0.05290772779896276,0.07151615525309363,509.13299560546875,66.60749816894531,2.25799560546875
95,,blue,boundary_sample,-0.058233127785242395,0.07163679943544708,508.2344970703125,66.53300094604492,2.25750732421875
96,,blue,boundary_sample,-0.06359407023118184,0.0715477294461403,507.3300018310547,66.5880012512207,2.2559967041015625
97,,blue,boundary_sample,-0.0688720802712484,0.0715477294461403,506.4394989013672,66.5880012512207,2.2555084228515625
98,,blue,boundary_sample,-0.07407005194795893,0.07161736441073081,505.5625,66.54500198364258,2.25750732421875
99,,blue,boundary_sample,-0.07928882455525915,0.07147809448154979,504.68199157714844,66.63100051879883,2.2559967041015625
100,,blue,boundary_sample,-0.08429117704559777,0.07196231447751622,503.83799743652344,66.33199691772461,2.2559967041015625
101,,blue,boundary_sample,-0.08938541538584571,0.07202222575205479,502.97850036621094,66.29500198364258,2.2555084228515625
102,,blue,boundary_sample,-0.09450334869920018,0.0718068466351737,502.11500549316406,66.42799758911133,2.2559967041015625
103,,blue,boundary_sample,-0.09945831124332573,0.07210482151825201,501.2790069580078,66.24399948120117,2.2559967041015625
104,,blue,boundary_sample,-0.10447857062173722,0.07205381230048907,500.43199157714844,66.27549743652344,2.2559967041015625
105,,blue,boundary_sample,-0.10943353316586278,0.0720789122704262,499.5959930419922,66.2599983215332,2.2559967041015625
106,,blue,boundary_sample,-0.1143648007368818,0.07214206992306026,498.7639923095703,66.22099876403809,2.2559967041015625
107,,blue,boundary_sample,-0.11926341989075782,0.07216150494777653,497.9375,66.20899772644043,2.25750732421875
108,,blue,boundary_sample,-0.12413834407152734,0.07223113991236704,497.11500549316406,66.1659984588623,2.2559967041015625
109,,blue,boundary_sample,-0.12899852672322673,0.07222465642271678,496.2949981689453,66.17000198364258,2.2559967041015625
110,,blue,boundary_sample,-0.1338142134712299,0.07233882638196068,495.4824981689453,66.09950256347656,2.2555084228515625
111,,blue,boundary_sample,-0.13862990021923308,0.07233235215885113,494.6699981689453,66.10350036621094,2.2559967041015625
112,,blue,boundary_sample,-0.14346928194034275,0.07198417115820475,493.85350036621094,66.31850051879883,2.2555084228515625
113,,blue,boundary_sample,-0.14823757874213286,0.0720789122704262,493.0489959716797,66.2599983215332,2.2559967041015625
114,,blue,boundary_sample,-0.15298507461333324,0.07210482151825201,492.2480010986328,66.24399948120117,2.2559967041015625
115,,blue,boundary_sample,-0.15773257048453362,0.07214854723501671,491.44700622558594,66.21699905395508,2.2559967041015625
116,,blue,boundary_sample,-0.16245347734011065,0.07220522448684741,490.65049743652344,66.1820011138916,2.2555084228515625
117,,blue,boundary_sample,-0.16717727823820447,0.07225623988230416,489.85350036621094,66.15049934387207,2.2555084228515625
118,,blue,boundary_sample,-0.1718773841631918,0.07228781716419774,489.0605010986328,66.13100051879883,2.2555084228515625
119,,blue,boundary_sample,-0.1765774900881791,0.07223113991236704,488.2675018310547,66.1659984588623,2.2555084228515625
120,,blue,boundary_sample,-0.18126574852661315,0.07241737575871443,487.47650146484375,66.05099868774414,2.25750732421875
121,,blue,boundary_sample,-0.18595400696504719,0.07239875001188686,486.6855010986328,66.0625,2.2555084228515625
122,,blue,boundary_sample,-0.19063041791692797,0.07249024783485973,485.89649963378906,66.00600051879883,2.2555084228515625
123,,blue,boundary_sample,-0.19531867635536201,0.0725793178241665,485.1054992675781,65.95100021362305,2.25750732421875
124,,blue,boundary_sample,-0.20000693479379605,0.0726230435409312,484.3144989013672,65.92399978637695,2.2555084228515625
125,,blue,boundary_sample,-0.20468334574567681,0.07269267850552172,483.52549743652344,65.88100051879883,2.2555084228515625
126,,blue,boundary_sample,-0.20936265074007443,0.07271858775334752,482.7360076904297,65.8650016784668,2.2559967041015625
127,,blue,boundary_sample,-0.21405986262254492,0.07275583924700267,481.94349670410156,65.84199905395508,2.2555084228515625
128,,blue,boundary_sample,-0.2187599685475322,0.07277527118287204,481.15049743652344,65.82999992370605,2.2555084228515625
129,,blue,boundary_sample,-0.22346007447251953,0.07288539475267247,480.3574981689453,65.76199913024902,2.2555084228515625
130,,blue,boundary_sample,-0.22816018039750685,0.07288863186422724,479.5644989013672,65.76000022888184,2.2555084228515625
131,,blue,boundary_sample,-0.2328839812956007,0.07293964417083709,478.7675018310547,65.72850036621094,2.2555084228515625
132,,blue,boundary_sample,-0.23762858312428425,0.07302790488225518,477.9669952392578,65.67399978637695,2.2559967041015625
133,,blue,boundary_sample,-0.24237607899548463,0.07306596256495211,477.16600036621094,65.65049934387207,2.2559967041015625
134,,blue,boundary_sample,-0.24714726983979154,0.0731234490946715,476.3610076904297,65.6150016784668,2.2559967041015625
135,,blue,boundary_sample,-0.2519126725990648,0.07318660983615247,475.55699157714844,65.57600021362305,2.2559967041015625
136,,blue,boundary_sample,-0.25670755841647824,0.07323033555291716,474.7480010986328,65.54899978637695,2.2559967041015625
137,,blue,boundary_sample,-0.26154404609507115,0.07341414047675159,473.93199157714844,65.43550109863281,2.2559967041015625
138,,blue,boundary_sample,-0.2664545127355004,0.07383762756490313,473.10350036621094,65.17399978637695,2.2555084228515625
139,,blue,boundary_sample,-0.2713175894297167,0.07388863678266606,472.2830047607422,65.14250183105469,2.2559967041015625
140,,blue,boundary_sample,-0.2762133145410759,0.07393965526696972,471.4570007324219,65.11099815368652,2.25799560546875
141,,blue,boundary_sample,-0.28115642959864817,0.07407244479534739,470.6230010986328,65.02900123596191,2.2559967041015625
142,,blue,boundary_sample,-0.2860876971696672,0.07410969320015563,469.79100036621094,65.00600051879883,2.2559967041015625
143,,blue,boundary_sample,-0.29107820217345254,0.07417285394163659,468.9490051269531,64.96699905395508,2.25799560546875
144,,blue,boundary_sample,-0.2960895081078276,0.07421091162433352,468.10350036621094,64.9434986114502,2.2555084228515625
145,,blue,boundary_sample,-0.30111266152875593,0.0742424889062271,467.25599670410156,64.92399978637695,2.2559967041015625
146,,blue,boundary_sample,-0.3061950523824506,0.07428702390088049,466.39849853515625,64.89649963378906,2.25750732421875
147,,blue,boundary_sample,-0.3113248331823583,0.07436880730034212,465.5330047607422,64.84599876403809,2.2559967041015625
148,,blue,boundary_sample,-0.31648726239940905,0.07443844226493264,464.66200256347656,64.80299949645996,2.2559967041015625
149,,blue,boundary_sample,-0.3215341107934439,0.07402143248873755,463.8105010986328,65.06050109863281,2.2555084228515625
150,,blue,boundary_sample,-0.3268595107797235,0.07437528461229857,462.91200256347656,64.84199905395508,2.2559967041015625
151,,blue,boundary_sample,-0.3320930249160939,0.07422953119346729,462.0290069580078,64.9320011138916,2.2559967041015625
152,,blue,boundary_sample,-0.3375340057253894,0.07461009875389593,461.1110076904297,64.69700241088867,2.2559967041015625
153,,blue,boundary_sample,-0.3429275965884718,0.0746732594953769,460.2010040283203,64.65800094604492,2.2559967041015625
154,,blue,boundary_sample,-0.348356729911214,0.07470403367707559,459.2850036621094,64.63899803161621,2.25799560546875
155,,blue,boundary_sample,-0.35387774908386554,0.07480605520144837,458.35350036621094,64.57600021362305,2.2555084228515625
156,,blue,boundary_sample,-0.3594343107161769,0.07484978091821307,457.41600036621094,64.54899978637695,2.2559967041015625
157,,blue,boundary_sample,-0.364946376444792,0.07469835946531402,456.4860076904297,64.64250183105469,2.2559967041015625
158,,blue,boundary_sample,-0.3707312056806182,0.07498905084739409,455.50999450683594,64.4630012512207,2.2559967041015625
159,,blue,boundary_sample,-0.376474433055265,0.07503925387611525,454.54100036621094,64.4320011138916,2.2559967041015625
160,,blue,boundary_sample,-0.38228585130671455,0.07507812083670087,453.5605010986328,64.40800094604492,2.2555084228515625
161,,blue,boundary_sample,-0.3878187179659194,0.07442629383006152,452.6269989013672,64.81050109863281,2.2559967041015625
162,,blue,boundary_sample,-0.39416065038623516,0.07522306497764347,451.55699157714844,64.3184986114502,2.2559967041015625
163,,blue,boundary_sample,-0.40022981929933976,0.07530565147729998,450.5330047607422,64.26750183105469,2.2559967041015625
164,,blue,boundary_sample,-0.4063642850467304,0.07535666996160363,449.4980010986328,64.23599815368652,2.2559967041015625
165,,blue,boundary_sample,-0.4125461407403341,0.0753623349068245,448.4550018310547,64.23250007629395,2.2559967041015625
166,,blue,boundary_sample,-0.4188880731606498,0.0754765079549153,447.38499450683594,64.1619987487793,2.2559967041015625
